"session_id","date","start_time","end_time","title","description","recorded","type","skill_level","speakers","tracks","room","room_os","level","cost"
"1276","2026-03-06","9:00 AM","11:15 AM","Managing investigators: Leading those born to challenge authority","Being a news manager is already tough, but what if you supervise investigative journalists? They come with an extra layer of challenges because their very job (and likely their personality) makes them hyper-alert to authority figures. This course is designed to give you some tools and tactics to lead individuals and entire teams of investigators more effectively. Learn from three investigative managers from different media at different stages of their leadership careers. How did they launch into their roles, and what experience have they gained along the way? This course is for current investigative managers and anyone aspiring to step into such a position in the future. NEW AT NICAR26: We'll tailor portions of this course for people who may be navigating AI and also offer details on IRE's new Managers of Color cohort. We're also squeezing it into two hours of learning, then an hour-long management networking/meetup event. Oh... and it's free to attend (typically, an additional fee is required)! Topics will include: managing compassionately, hiring challenges, transitioning to management, forging partnerships, building relationships, handling resource cuts, organization/structure, tough decisions/conversations, in-house training/growth, delivering feedback, creating inclusive opportunities, and juggling responsibilities/projects/work.","false","Master Class","Intermediate","Emma Carew Grovum, Kimbap Media / Media Bridge Partners; Josh Hinkle, KXAN; Justin Myers, Chicago Sun-Times","Management","205","BYO","2",""
"1283","2026-03-06","9:00 AM","10:00 AM","Media lawyer Q&A: Student edition","","true","Special","","","Students, Public records","White River B","","1",""
"1298","2026-03-06","9:00 AM","10:00 AM","Networking for international journalists","","false","Networking","","","","White River I","","1",""
"1313","2026-03-06","9:00 AM","6:00 PM","Community service opportunity with RTDNA","","false","Special","","","","Griffin Hall","","2",""
"1023","2026-03-06","10:15 AM","11:15 AM","Demo: The Gun Violence Data Hub","Learn about the Gun Violence Data Hub, an initiative from The Trace, and how to use the data to report deeper and better stories in your own community. The Data Hub provides resources for newsrooms to bolster their U.S. gun violence knowledge, as well as an open data library of contextualized and well-documented datasets. This session is good for those with some experience using spreadsheets. Attendees will need to bring their own laptop (no tablets) to participate in this class.","false","Hands-on","Beginner","Aaron Mendelson, The Trace","","202","BYO","2",""
"1026","2026-03-06","10:15 AM","11:15 AM","Customizing ggplot for yourself or your organization","Imagine a version of ggplot that is customized to your organization's style guidelines, in which you no longer have to write the same theme styling or geom_text layers every time you make a new chart. We've done that at Pew Research Center by writing our own graphics package made up of functions that modify, combine and extend existing ggplot functions (wrappers), and we want to share what we learned! Attendees will leave the session knowing how to get much closer to publication-ready graphics without leaving R, in far fewer lines of code. For those who may want to go beyond streamlining their own personal ggplot use, we'll also go over why (or why not) a custom R graphics package could be the right solution for their organizations - and how to start building one if it is. Attendees should have some familiarity with R and RStudio. Laptops will be provided.","false","Hands-on","Intermediate","Kaitlyn Radde, Pew Research Center","","209","OSX","2",""
"1070","2026-03-06","10:15 AM","11:15 AM","Finding the story: Trade data","As trade and tariffs become an increasingly relevant issue, this session will demo a free (but very unintuitive) tool from the U.S. Census: USA Trade! USA Trade has comprehensive, district-level data (with lots of hidden gems) that can be useful for data journalists across beats, especially those relating to global economics, trade, tech, and foreign policy. This session will demonstrate how to use USA Trade and discuss some ways to understand and use the data in your reporting. This session is good for everyone interested in learning more about trade stats. No data experience is necessary! Attendees will need to bring their own laptops (preferably no tablets) for the training.","false","Hands-on","Beginner","Paroma Soni, POLITICO","Beat reporting","201","BYO","2",""
"1096","2026-03-06","10:15 AM","11:15 AM","Accessibility basics","","true","Panel","","Patrick Garvin, Maritz Global Events; Stacy Kess, Equal Access Public Media; Emilia Ruzicka, University of Virginia","Equity, inclusion and accessibility","White River E","","1",""
"1107","2026-03-06","10:15 AM","11:15 AM","Analyzing images and videos with AI","","true","Demo","Intermediate","Jonathan Soma, Columbia University","AI","White River D","","1",""
"1157","2026-03-06","10:15 AM","11:15 AM","Persuasion 401: The psychology of investigative reporting","This training provides a deep dive into the psychology of persuasion so that reporters can increase their odds in getting record custodians to cough up data, reluctant sources to talk, and editors to support their projects. Tips will be research-based and help attendees learn the power of the mind. Note: Use these strategies for good, not evil!","true","Panel","","David Cuillier, Brechner FOI Project","Public records","White River G","","1",""
"1204","2026-03-06","10:15 AM","11:15 AM","Beginner track: How to find data","A conversation about how to find and vet credible data sources that you can use right away.","true","Panel","Beginner","Greg Morton, The Baltimore Banner","Story ideas, Public records, Local, Beat reporting","White River B","","1",""
"1219","2026-03-06","10:15 AM","11:15 AM","Tracking hidden money, influence and power across borders","","true","Panel","","Anna Massoglia, MuckRock","","White River I","","1",""
"1245","2026-03-06","10:15 AM","11:15 AM","Using Python to scrape basic websites","This session will show you how to use the Python programming language to scrape data from simple websites. This session is good for: People with some experience working with data. Experience with Python and/or HTML is a plus but not necessary. Laptops will be provided.","false","Hands-on","Beginner","Allan James Vestal, The Baltimore Banner","","104","OSX","1",""
"1250","2026-03-06","10:15 AM","11:15 AM","QGIS 2: Analyzing geographic data","Build on your existing knowledge of QGIS and learn how to explore, manipulate and analyze geographic datasets to gain new insights. This session is good for: Those who attended the QGIS I workshop or already know the basics of visualizing geographic data in QGIS.","false","Hands-on","Intermediate","","","204","PC","2",""
"1260","2026-03-06","10:15 AM","11:15 AM","Google Sheets 2: Formulas & sorting (repeat)","Much of Google Sheets' power comes in the form of formulas. In this class, you'll learn how to use them to analyze data with the eye of a journalist. Yes, math will be involved, but it's totally worth it! This class will show you how calculations like change, percent change, rates and ratios can beef up your reporting. This session is good for: Anyone who has taken Google Sheets 1 or has been introduced to spreadsheets. Attendees will need to bring their own laptop (no tablets) for the training and will need a free Google account to participate.","false","Hands-on","Beginner","","Data analysis","102","BYO","1",""
"1024","2026-03-06","11:30 AM","12:30 PM","Connect with skeptical and disengaged audiences ... with data!","Data journalists have a unique opportunity to reach skeptical audiences who would otherwise reject established scientific facts. Let's highlight some journalistic endeavors to persuade and engage skeptical communities through innovative ways of presenting and explaining data.","true","Panel","","Eva Constantaras, Lighthouse Reports; Aaron Mendelson, The Trace; Max Siegelbaum, Documented","","White River G","","1",""
"1064","2026-03-06","11:30 AM","12:30 PM","Using open-source tools to investigate public transit","Public transit systems offer a treasure trove of data that can reveal vital insights into accessibility, equity, and efficiency. Together, we'll learn how to harness the data that powers tools like Google Maps and explore how these datasets can be used to investigate service coverage, travel times, and on-time performance. Whether you're uncovering how well a city serves its residents or tracking disparities in service quality, this session will arm you with the skills to transform transit data into compelling stories. This session is good for those with some spreadsheets experience. Laptops will be provided.","false","Hands-on","Beginner","Greg Morton, The Baltimore Banner","","209","OSX","2",""
"1092","2026-03-06","11:30 AM","12:30 PM","How to scrape an entire social media platform","There's an interesting ""alt"" social media platform called pilled.net, which is popular in the conspiracy theory community. It has an API that's straightforward to engineer, and it has only about 1 million posts. So it's possible to fairly easily create a scraper, then scrape and analyze the entire platform. The sessions will show how to reverse engineer a social media platform's APIs, how to implement a scraper in Python, how to use the scraper to collect all the data, and then a few high-level analyses that can be done on the data. This session is good for those with some working with Python. Laptops will be provided.","false","Hands-on","Advanced","Jack Gillum, The Wall Street Journal; Brian Whitton, The Wall Street Journal","","104","OSX","1",""
"1122","2026-03-06","11:30 AM","12:30 PM","Everything you never wanted to know about crypto: A primer for data investigations","","true","Panel","","Sam Kessler, The Wall Street Journal; Jeremy Merrill, The Washington Post; Caitlin Ostroff, The Wall Street Journal","","White River D","","1",""
